"subjID","choice","trial","outcome_blue","outcome","amount_blue","amount_orange","status"
"H18096",1,123,0,0,92,66,1
"H18096",2,124,0,1,14,67,1
"H18096",2,125,1,0,77,11,1
"H18096",2,126,0,1,20,36,1
"H18096",1,127,0,0,61,44,1
"H18096",1,128,0,0,34,4,1
"H18096",1,129,0,0,63,86,1
"H18096",1,130,0,0,43,99,1
"H18096",1,131,1,1,56,95,1
"H18096",1,132,0,0,63,89,1
"H18096",1,133,1,1,80,88,1
"H18096",1,134,0,0,10,5,1
"H18096",1,135,1,1,80,35,1
"H18096",2,136,1,0,57,8,1
"H18096",1,137,1,1,47,78,1
"H18096",2,138,1,0,99,5,1
"H18096",2,139,1,0,67,62,1
"H18096",1,140,0,0,27,95,1
"H18271",1,1,1,1,37,44,-1
"H18271",2,2,1,0,12,66,-1
"H18271",2,3,1,0,9,98,-1
"H18271",2,4,0,1,91,20,-1
"H18271",1,5,1,1,8,28,-1
"H18271",1,6,1,1,33,30,-1
"H18271",1,7,1,1,24,27,-1
"H18271",2,8,0,1,43,58,-1
"H18271",1,9,1,1,47,72,-1
"H18271",2,10,0,1,44,44,-1
"H18271",1,11,1,1,26,69,-1
"H18271",1,12,1,1,41,6,-1
"H18271",1,13,1,1,34,88,-1
"H18271",1,14,0,0,18,73,-1
"H18271",1,15,1,1,25,60,-1
"H18271",2,16,1,0,6,68,-1
"H18271",1,17,0,0,39,48,-1
"H18271",2,18,1,0,76,35,-1
"H18271",2,19,1,0,85,23,-1
"H18271",1,20,1,1,22,54,-1
"H18271",1,21,0,0,58,66,-1
"H18271",1,22,1,1,41,98,-1
"H18271",1,23,1,1,80,58,-1
"H18271",2,24,1,0,85,32,-1
"H18271",2,25,0,1,15,83,-1
"H18271",1,26,1,1,16,18,-1
"H18271",1,27,1,1,99,56,-1
"H18271",2,28,1,0,75,23,-1
"H18271",1,29,1,1,18,68,-1
"H18271",2,30,1,0,16,30,-1
"H18271",2,31,1,0,37,86,-1
"H18271",2,32,1,0,44,47,-1
"H18271",2,33,1,0,91,3,-1
"H18271",2,34,0,1,14,60,-1
"H18271",1,35,1,1,84,54,-1
"H18271",1,36,1,1,23,34,-1
"H18271",2,37,1,0,28,96,-1
"H18271",2,38,0,1,94,83,-1
"H18271",2,39,1,0,86,63,-1
"H18271",1,40,1,1,53,99,-1
"H18271",2,41,1,0,91,29,-1
"H18271",2,42,1,0,64,88,-1
"H18271",2,43,1,0,70,84,-1
"H18271",2,44,0,1,88,61,-1
"H18271",1,45,1,1,43,61,-1
"H18271",1,46,1,1,54,87,-1
"H18271",2,47,0,1,90,5,-1
"H18271",2,48,1,0,44,71,-1
"H18271",2,49,1,0,52,42,-1
"H18271",2,50,1,0,93,39,-1
"H18271",2,51,1,0,24,39,-1
"H18271",2,52,0,1,10,20,-1
"H18271",1,53,0,0,43,85,-1
"H18271",1,54,0,0,7,77,-1
"H18271",1,55,1,1,90,95,-1
"H18271",1,56,1,1,7,56,-1
"H18271",2,57,1,0,69,50,-1
"H18271",2,58,1,0,83,4,-1
"H18271",2,59,0,1,8,40,-1
"H18271",2,60,1,0,86,47,-1
"H18271",1,61,1,1,49,15,-1
"H18271",2,62,1,0,39,17,-1
"H18271",2,63,0,1,97,76,-1
"H18271",1,64,1,1,14,73,-1
"H18271",1,65,1,1,29,67,-1
"H18271",2,66,1,0,39,48,-1
"H18271",2,67,1,0,99,30,-1
"H18271",2,68,0,1,20,13,-1
"H18271",1,69,1,1,59,66,-1
"H18271",1,70,1,1,60,20,-1
"H18271",1,71,1,1,25,41,1
"H18271",1,72,0,0,70,76,1
"H18271",1,73,0,0,18,73,1
"H18271",2,74,0,1,80,41,1
"H18271",2,75,1,0,76,25,1
"H18271",2,76,0,1,52,34,1
"H18271",2,77,0,1,60,30,1
"H18271",1,78,0,0,36,91,1
"H18271",1,79,0,0,59,70,1
"H18271",1,80,1,1,47,64,1
"H18271",2,81,0,1,44,28,1
"H18271",2,82,0,1,80,2,1
"H18271",1,83,0,0,39,20,1
"H18271",1,84,0,0,61,32,1
"H18271",1,85,0,0,61,90,1
"H18271",1,86,1,1,70,62,1
"H18271",2,87,0,1,33,17,1
"H18271",1,88,0,0,17,74,1
"H18271",2,89,0,1,85,2,1
"H18271",1,90,0,0,76,39,1
"H18271",1,91,0,0,20,70,1
"H18271",2,92,1,0,69,24,1
"H18271",1,93,1,1,52,59,1
"H18271",2,94,0,1,43,15,1
"H18271",1,95,1,1,34,50,1
"H18271",2,96,0,1,48,43,1
"H18271",2,97,1,0,35,14,1
"H18271",2,98,1,0,42,12,1
"H18271",2,99,1,0,44,40,1
"H18271",2,100,1,0,50,88,1
"H18271",2,101,1,0,19,51,1
"H18271",2,102,1,0,59,44,1
"H18271",2,103,1,0,9,23,1
"H18271",2,104,1,0,76,23,1
"H18271",2,105,1,0,47,94,1
"H18271",2,106,0,1,56,67,1
"H18271",1,107,1,1,16,50,1
"H18271",2,108,1,0,7,83,1
"H18271",1,109,1,1,41,86,1
"H18271",2,110,1,0,37,61,1
"H18271",2,111,0,1,57,82,1
"H18271",2,112,0,1,28,68,1
"H18271",1,113,0,0,76,65,1
"H18271",1,114,0,0,19,25,1
"H18271",1,115,0,0,68,67,1
"H18271",1,116,0,0,68,82,1
"H18271",1,117,0,0,19,88,1
"H18271",1,118,1,1,11,55,1
"H18271",2,119,1,0,36,74,1
"H18271",2,120,0,1,64,18,1
"H18271",1,121,0,0,3,15,1
"H18271",1,122,0,0,76,91,1
"H18271",1,123,0,0,92,66,1
"H18271",1,124,0,0,14,67,1
"H18271",1,125,1,1,77,11,1
"H18271",1,126,0,0,20,36,1
"H18271",2,127,0,1,61,44,1
"H18271",1,128,0,0,34,4,1
"H18271",1,129,0,0,63,86,1
"H18271",1,130,0,0,43,99,1
"H18271",1,131,1,1,56,95,1
"H18271",1,132,0,0,63,89,1
"H18271",1,133,1,1,80,88,1
"H18271",2,134,0,1,10,5,1
"H18271",2,135,1,0,80,35,1
"H18271",2,136,1,0,57,8,1
"H18271",2,137,1,0,47,78,1
"H18271",2,138,1,0,99,5,1
"H18271",2,139,1,0,67,62,1
"H18271",2,140,0,1,27,95,1
"H18345",2,1,1,0,37,44,-1
"H18345",2,2,1,0,12,66,-1
"H18345",1,3,1,1,9,98,-1
"H18345",2,4,0,1,91,20,-1
"H18345",2,5,1,0,8,28,-1
"H18345",2,6,1,0,33,30,-1
"H18345",2,7,1,0,24,27,-1
"H18345",2,8,0,1,43,58,-1
"H18345",1,9,1,1,47,72,-1
"H18345",2,10,0,1,44,44,-1
"H18345",1,11,1,1,26,69,-1
"H18345",1,12,1,1,41,6,-1
"H18345",1,13,1,1,34,88,-1
"H18345",2,14,0,1,18,73,-1
"H18345",1,15,1,1,25,60,-1
"H18345",1,16,1,1,6,68,-1
"H18345",2,17,0,1,39,48,-1
"H18345",2,18,1,0,76,35,-1
"H18345",2,19,1,0,85,23,-1
"H18345",2,20,1,0,22,54,-1
"H18345",2,21,0,1,58,66,-1
"H18345",1,22,1,1,41,98,-1
"H18345",2,23,1,0,80,58,-1
"H18345",2,24,1,0,85,32,-1
"H18345",2,25,0,1,15,83,-1
"H18345",2,26,1,0,16,18,-1
"H18345",2,27,1,0,99,56,-1
"H18345",2,28,1,0,75,23,-1
"H18345",1,29,1,1,18,68,-1
"H18345",1,30,1,1,16,30,-1
"H18345",2,31,1,0,37,86,-1
"H18345",2,32,1,0,44,47,-1
"H18345",2,33,1,0,91,3,-1
"H18345",2,34,0,1,14,60,-1
"H18345",2,35,1,0,84,54,-1
"H18345",2,36,1,0,23,34,-1
"H18345",1,37,1,1,28,96,-1
"H18345",2,38,0,1,94,83,-1
"H18345",2,39,1,0,86,63,-1
"H18345",1,40,1,1,53,99,-1
"H18345",2,41,1,0,91,29,-1
"H18345",2,42,1,0,64,88,-1
"H18345",2,43,1,0,70,84,-1
"H18345",2,44,0,1,88,61,-1
"H18345",2,45,1,0,43,61,-1
"H18345",2,46,1,0,54,87,-1
"H18345",2,47,0,1,90,5,-1
"H18345",2,48,1,0,44,71,-1
"H18345",2,49,1,0,52,42,-1
"H18345",2,50,1,0,93,39,-1
"H18345",2,51,1,0,24,39,-1
"H18345",2,52,0,1,10,20,-1
"H18345",1,53,0,0,43,85,-1
"H18345",1,54,0,0,7,77,-1
"H18345",1,55,1,1,90,95,-1
"H18345",1,56,1,1,7,56,-1
"H18345",1,57,1,1,69,50,-1
"H18345",2,58,1,0,83,4,-1
"H18345",2,59,0,1,8,40,-1
"H18345",2,60,1,0,86,47,-1
"H18345",2,61,1,0,49,15,-1
"H18345",2,62,1,0,39,17,-1
"H18345",2,63,0,1,97,76,-1
"H18345",1,64,1,1,14,73,-1
"H18345",2,65,1,0,29,67,-1
"H18345",2,66,1,0,39,48,-1
"H18345",2,67,1,0,99,30,-1
"H18345",2,68,0,1,20,13,-1
"H18345",2,69,1,0,59,66,-1
"H18345",2,70,1,0,60,20,-1
"H18345",2,71,1,0,25,41,1
"H18345",2,72,0,1,70,76,1
"H18345",1,73,0,0,18,73,1
"H18345",2,74,0,1,80,41,1
"H18345",1,75,1,1,76,25,1
"H18345",1,76,0,0,52,34,1
"H18345",1,77,0,0,60,30,1
"H18345",1,78,0,0,36,91,1
"H18345",2,79,0,1,59,70,1
"H18345",1,80,1,1,47,64,1
"H18345",1,81,0,0,44,28,1
"H18345",2,82,0,1,80,2,1
"H18345",1,83,0,0,39,20,1
"H18345",1,84,0,0,61,32,1
"H18345",1,85,0,0,61,90,1
"H18345",1,86,1,1,70,62,1
"H18345",1,87,0,0,33,17,1
"H18345",1,88,0,0,17,74,1
"H18345",1,89,0,0,85,2,1
"H18345",1,90,0,0,76,39,1
"H18345",1,91,0,0,20,70,1
"H18345",1,92,1,1,69,24,1
"H18345",1,93,1,1,52,59,1
"H18345",1,94,0,0,43,15,1
"H18345",1,95,1,1,34,50,1
"H18345",1,96,0,0,48,43,1
"H18345",1,97,1,1,35,14,1
"H18345",2,98,1,0,42,12,1
"H18345",2,99,1,0,44,40,1
"H18345",2,100,1,0,50,88,1
"H18345",1,101,1,1,19,51,1
"H18345",2,102,1,0,59,44,1
"H18345",2,103,1,0,9,23,1
"H18345",2,104,1,0,76,23,1
"H18345",2,105,1,0,47,94,1
"H18345",2,106,0,1,56,67,1
"H18345",2,107,1,0,16,50,1
"H18345",2,108,1,0,7,83,1
"H18345",2,109,1,0,41,86,1
"H18345",2,110,1,0,37,61,1
"H18345",2,111,0,1,57,82,1
"H18345",2,112,0,1,28,68,1
"H18345",2,113,0,1,76,65,1
"H18345",1,114,0,0,19,25,1
"H18345",1,115,0,0,68,67,1
"H18345",1,116,0,0,68,82,1
"H18345",1,117,0,0,19,88,1
"H18345",1,118,1,1,11,55,1
"H18345",1,119,1,1,36,74,1
"H18345",1,120,0,0,64,18,1
"H18345",1,121,0,0,3,15,1
"H18345",1,122,0,0,76,91,1
"H18345",1,123,0,0,92,66,1
"H18345",1,124,0,0,14,67,1
"H18345",1,125,1,1,77,11,1
"H18345",1,126,0,0,20,36,1
"H18345",1,127,0,0,61,44,1
"H18345",2,128,0,1,34,4,1
"H18345",1,129,0,0,63,86,1
"H18345",1,130,0,0,43,99,1
"H18345",1,131,1,1,56,95,1
"H18345",1,132,0,0,63,89,1
"H18345",1,133,1,1,80,88,1
"H18345",1,134,0,0,10,5,1
"H18345",1,135,1,1,80,35,1
"H18345",2,136,1,0,57,8,1
"H18345",2,137,1,0,47,78,1
"H18345",2,138,1,0,99,5,1
"H18345",2,139,1,0,67,62,1
"H18345",1,140,0,0,27,95,1
"H18453",1,1,1,1,37,44,-1
"H18453",1,2,1,1,12,66,-1
"H18453",2,3,1,0,9,98,-1
"H18453",2,4,0,1,91,20,-1
"H18453",1,5,1,1,8,28,-1
"H18453",2,6,1,0,33,30,-1
"H18453",2,7,1,0,24,27,-1
"H18453",2,8,0,1,43,58,-1
"H18453",1,9,1,1,47,72,-1
"H18453",2,10,0,1,44,44,-1
"H18453",1,11,1,1,26,69,-1
"H18453",2,12,1,0,41,6,-1
"H18453",2,13,1,0,34,88,-1
"H18453",2,14,0,1,18,73,-1
"H18453",2,15,1,0,25,60,-1
"H18453",1,16,1,1,6,68,-1
"H18453",2,17,0,1,39,48,-1
"H18453",2,18,1,0,76,35,-1
"H18453",2,19,1,0,85,23,-1
"H18453",2,20,1,0,22,54,-1
"H18453",2,21,0,1,58,66,-1
"H18453",1,22,1,1,41,98,-1
"H18453",2,23,1,0,80,58,-1
"H18453",2,24,1,0,85,32,-1
"H18453",2,25,0,1,15,83,-1
"H18453",2,26,1,0,16,18,-1
"H18453",2,27,1,0,99,56,-1
"H18453",2,28,1,0,75,23,-1
"H18453",2,29,1,0,18,68,-1
"H18453",2,30,1,0,16,30,-1
"H18453",2,31,1,0,37,86,-1
"H18453",2,32,1,0,44,47,-1
"H18453",2,33,1,0,91,3,-1
"H18453",2,34,0,1,14,60,-1
"H18453",2,35,1,0,84,54,-1
"H18453",2,36,1,0,23,34,-1
"H18453",2,37,1,0,28,96,-1
"H18453",2,38,0,1,94,83,-1
"H18453",2,39,1,0,86,63,-1
"H18453",2,40,1,0,53,99,-1
"H18453",2,41,1,0,91,29,-1
"H18453",2,42,1,0,64,88,-1
"H18453",2,43,1,0,70,84,-1
"H18453",2,44,0,1,88,61,-1
"H18453",2,45,1,0,43,61,-1
"H18453",2,46,1,0,54,87,-1
"H18453",2,47,0,1,90,5,-1
"H18453",2,48,1,0,44,71,-1
"H18453",2,49,1,0,52,42,-1
"H18453",2,50,1,0,93,39,-1
"H18453",2,51,1,0,24,39,-1
"H18453",2,52,0,1,10,20,-1
"H18453",2,53,0,1,43,85,-1
"H18453",1,54,0,0,7,77,-1
"H18453",1,55,1,1,90,95,-1
"H18453",2,56,1,0,7,56,-1
"H18453",2,57,1,0,69,50,-1
"H18453",2,58,1,0,83,4,-1
"H18453",1,59,0,0,8,40,-1
"H18453",2,60,1,0,86,47,-1
"H18453",2,61,1,0,49,15,-1
"H18453",2,62,1,0,39,17,-1
"H18453",2,63,0,1,97,76,-1
"H18453",1,64,1,1,14,73,-1
"H18453",1,65,1,1,29,67,-1
"H18453",2,66,1,0,39,48,-1
"H18453",2,67,1,0,99,30,-1
"H18453",2,68,0,1,20,13,-1
"H18453",1,69,1,1,59,66,-1
"H18453",2,70,1,0,60,20,-1
"H18453",1,71,1,1,25,41,1
"H18453",2,72,0,1,70,76,1
"H18453",1,73,0,0,18,73,1
"H18453",2,74,0,1,80,41,1
"H18453",2,75,1,0,76,25,1
"H18453",1,76,0,0,52,34,1
"H18453",2,77,0,1,60,30,1
"H18453",1,78,0,0,36,91,1
"H18453",1,79,0,0,59,70,1
"H18453",1,80,1,1,47,64,1
"H18453",1,81,0,0,44,28,1
"H18453",2,82,0,1,80,2,1
"H18453",2,83,0,1,39,20,1
"H18453",1,84,0,0,61,32,1
"H18453",1,85,0,0,61,90,1
"H18453",1,86,1,1,70,62,1
"H18453",2,87,0,1,33,17,1
"H18453",1,88,0,0,17,74,1
"H18453",2,89,0,1,85,2,1
"H18453",1,90,0,0,76,39,1
"H18453",2,91,0,1,20,70,1
"H18453",1,92,1,1,69,24,1
"H18453",1,93,1,1,52,59,1
"H18453",2,94,0,1,43,15,1
"H18453",1,95,1,1,34,50,1
"H18453",1,96,0,0,48,43,1
"H18453",1,97,1,1,35,14,1
"H18453",1,98,1,1,42,12,1
"H18453",1,99,1,1,44,40,1
"H18453",2,100,1,0,50,88,1
"H18453",2,101,1,0,19,51,1
"H18453",2,102,1,0,59,44,1
"H18453",2,103,1,0,9,23,1
"H18453",2,104,1,0,76,23,1
"H18453",2,105,1,0,47,94,1
"H18453",2,106,0,1,56,67,1
"H18453",2,107,1,0,16,50,1
"H18453",2,108,1,0,7,83,1
"H18453",2,109,1,0,41,86,1
"H18453",2,110,1,0,37,61,1
"H18453",2,111,0,1,57,82,1
"H18453",1,112,0,0,28,68,1
"H18453",1,113,0,0,76,65,1
"H18453",1,114,0,0,19,25,1
"H18453",1,115,0,0,68,67,1
"H18453",1,116,0,0,68,82,1
"H18453",1,117,0,0,19,88,1
"H18453",1,118,1,1,11,55,1
"H18453",1,119,1,1,36,74,1
"H18453",2,120,0,1,64,18,1
"H18453",1,121,0,0,3,15,1
"H18453",1,122,0,0,76,91,1
"H18453",1,123,0,0,92,66,1
"H18453",1,124,0,0,14,67,1
"H18453",2,125,1,0,77,11,1
"H18453",1,126,0,0,20,36,1
"H18453",1,127,0,0,61,44,1
"H18453",2,128,0,1,34,4,1
"H18453",1,129,0,0,63,86,1
"H18453",1,130,0,0,43,99,1
"H18453",1,131,1,1,56,95,1
"H18453",1,132,0,0,63,89,1
"H18453",1,133,1,1,80,88,1
"H18453",2,134,0,1,10,5,1
"H18453",2,135,1,0,80,35,1
"H18453",2,136,1,0,57,8,1
"H18453",2,137,1,0,47,78,1
"H18453",2,138,1,0,99,5,1
"H18453",2,139,1,0,67,62,1
"H18453",1,140,0,0,27,95,1
"H18537",1,1,1,1,37,44,-1
"H18537",1,2,1,1,12,66,-1
"H18537",1,3,1,1,9,98,-1
"H18537",2,4,0,1,91,20,-1
"H18537",2,5,1,0,8,28,-1
"H18537",2,6,1,0,33,30,-1
"H18537",1,7,1,1,24,27,-1
"H18537",2,8,0,1,43,58,-1
"H18537",1,9,1,1,47,72,-1
"H18537",2,10,0,1,44,44,-1
"H18537",1,11,1,1,26,69,-1
"H18537",2,12,1,0,41,6,-1
"H18537",2,13,1,0,34,88,-1
"H18537",1,14,0,0,18,73,-1
"H18537",2,15,1,0,25,60,-1
"H18537",1,16,1,1,6,68,-1
"H18537",2,17,0,1,39,48,-1
"H18537",2,18,1,0,76,35,-1
"H18537",2,19,1,0,85,23,-1
"H18537",1,20,1,1,22,54,-1
"H18537",2,21,0,1,58,66,-1
"H18537",1,22,1,1,41,98,-1
"H18537",2,23,1,0,80,58,-1
"H18537",2,24,1,0,85,32,-1
"H18537",1,25,0,0,15,83,-1
"H18537",1,26,1,1,16,18,-1
"H18537",2,27,1,0,99,56,-1
"H18537",2,28,1,0,75,23,-1
"H18537",2,29,1,0,18,68,-1
"H18537",1,30,1,1,16,30,-1
"H18537",1,31,1,1,37,86,-1
"H18537",2,32,1,0,44,47,-1
"H18537",2,33,1,0,91,3,-1
"H18537",2,34,0,1,14,60,-1
"H18537",2,35,1,0,84,54,-1
"H18537",2,36,1,0,23,34,-1
"H18537",2,37,1,0,28,96,-1
"H18537",2,38,0,1,94,83,-1
"H18537",2,39,1,0,86,63,-1
"H18537",1,40,1,1,53,99,-1
"H18537",2,41,1,0,91,29,-1
"H18537",1,42,1,1,64,88,-1
"H18537",2,43,1,0,70,84,-1
"H18537",2,44,0,1,88,61,-1
"H18537",2,45,1,0,43,61,-1
"H18537",2,46,1,0,54,87,-1
"H18537",2,47,0,1,90,5,-1
"H18537",1,48,1,1,44,71,-1
"H18537",2,49,1,0,52,42,-1
"H18537",2,50,1,0,93,39,-1
"H18537",2,51,1,0,24,39,-1
"H18537",2,52,0,1,10,20,-1
"H18537",2,53,0,1,43,85,-1
"H18537",1,54,0,0,7,77,-1
"H18537",1,55,1,1,90,95,-1
"H18537",1,56,1,1,7,56,-1
"H18537",2,57,1,0,69,50,-1
"H18537",2,58,1,0,83,4,-1
"H18537",2,59,0,1,8,40,-1
"H18537",2,60,1,0,86,47,-1
"H18537",2,61,1,0,49,15,-1
"H18537",2,62,1,0,39,17,-1
"H18537",2,63,0,1,97,76,-1
"H18537",2,64,1,0,14,73,-1
"H18537",2,65,1,0,29,67,-1
"H18537",2,66,1,0,39,48,-1
"H18537",2,67,1,0,99,30,-1
"H18537",2,68,0,1,20,13,-1
"H18537",2,69,1,0,59,66,-1
"H18537",2,70,1,0,60,20,-1
"H18537",2,71,1,0,25,41,1
"H18537",2,72,0,1,70,76,1
"H18537",2,73,0,1,18,73,1
"H18537",2,74,0,1,80,41,1
"H18537",1,75,1,1,76,25,1
"H18537",2,76,0,1,52,34,1
"H18537",1,77,0,0,60,30,1
"H18537",1,78,0,0,36,91,1
"H18537",1,79,0,0,59,70,1
"H18537",1,80,1,1,47,64,1
"H18537",2,81,0,1,44,28,1
"H18537",1,82,0,0,80,2,1
"H18537",1,83,0,0,39,20,1
"H18537",1,84,0,0,61,32,1
"H18537",1,85,0,0,61,90,1
"H18537",1,86,1,1,70,62,1
"H18537",1,87,0,0,33,17,1
"H18537",1,88,0,0,17,74,1
"H18537",2,89,0,1,85,2,1
"H18537",1,90,0,0,76,39,1
"H18537",1,91,0,0,20,70,1
"H18537",1,92,1,1,69,24,1
"H18537",1,93,1,1,52,59,1
"H18537",2,94,0,1,43,15,1
"H18537",1,95,1,1,34,50,1
"H18537",1,96,0,0,48,43,1
"H18537",1,97,1,1,35,14,1
"H18537",1,98,1,1,42,12,1
"H18537",2,99,1,0,44,40,1
"H18537",2,100,1,0,50,88,1
"H18537",2,101,1,0,19,51,1
"H18537",2,102,1,0,59,44,1
"H18537",2,103,1,0,9,23,1
"H18537",2,104,1,0,76,23,1
"H18537",2,105,1,0,47,94,1
"H18537",2,106,0,1,56,67,1
"H18537",1,107,1,1,16,50,1
"H18537",1,108,1,1,7,83,1
"H18537",2,109,1,0,41,86,1
"H18537",2,110,1,0,37,61,1
"H18537",2,111,0,1,57,82,1
"H18537",1,112,0,0,28,68,1
"H18537",2,113,0,1,76,65,1
"H18537",1,114,0,0,19,25,1
"H18537",1,115,0,0,68,67,1
"H18537",1,116,0,0,68,82,1
"H18537",1,117,0,0,19,88,1
"H18537",1,118,1,1,11,55,1
"H18537",1,119,1,1,36,74,1
"H18537",2,120,0,1,64,18,1
"H18537",1,121,0,0,3,15,1
"H18537",1,122,0,0,76,91,1
"H18537",1,123,0,0,92,66,1
"H18537",1,124,0,0,14,67,1
"H18537",2,125,1,0,77,11,1
"H18537",2,126,0,1,20,36,1
"H18537",2,127,0,1,61,44,1
"H18537",2,128,0,1,34,4,1
"H18537",1,129,0,0,63,86,1
"H18537",1,130,0,0,43,99,1
"H18537",1,131,1,1,56,95,1
"H18537",1,132,0,0,63,89,1
"H18537",1,133,1,1,80,88,1
"H18537",2,134,0,1,10,5,1
"H18537",1,135,1,1,80,35,1
"H18537",1,136,1,1,57,8,1
"H18537",2,137,1,0,47,78,1
"H18537",2,138,1,0,99,5,1
"H18537",2,139,1,0,67,62,1
"H18537",2,140,0,1,27,95,1
"H18589",1,1,1,1,37,44,-1
"H18589",1,2,1,1,12,66,-1
"H18589",2,3,1,0,9,98,-1
"H18589",1,4,0,0,91,20,-1
"H18589",2,5,1,0,8,28,-1
"H18589",2,6,1,0,33,30,-1
"H18589",1,7,1,1,24,27,-1
"H18589",2,8,0,1,43,58,-1
"H18589",2,9,1,0,47,72,-1
"H18589",2,10,0,1,44,44,-1
"H18589",2,11,1,0,26,69,-1
"H18589",1,12,1,1,41,6,-1
"H18589",1,13,1,1,34,88,-1
"H18589",1,14,0,0,18,73,-1
"H18589",1,15,1,1,25,60,-1
"H18589",2,16,1,0,6,68,-1
"H18589",2,17,0,1,39,48,-1
"H18589",1,18,1,1,76,35,-1
"H18589",2,19,1,0,85,23,-1
"H18589",2,20,1,0,22,54,-1
"H18589",1,21,0,0,58,66,-1
"H18589",2,22,1,0,41,98,-1
"H18589",2,23,1,0,80,58,-1
"H18589",1,24,1,1,85,32,-1
"H18589",2,25,0,1,15,83,-1
"H18589",1,26,1,1,16,18,-1
"H18589",2,27,1,0,99,56,-1
"H18589",1,28,1,1,75,23,-1
"H18589",1,29,1,1,18,68,-1
"H18589",2,30,1,0,16,30,-1
"H18589",1,31,1,1,37,86,-1
"H18589",1,32,1,1,44,47,-1
"H18589",2,33,1,0,91,3,-1
"H18589",2,34,0,1,14,60,-1
"H18589",1,35,1,1,84,54,-1
"H18589",1,36,1,1,23,34,-1
"H18589",1,37,1,1,28,96,-1
"H18589",1,38,0,0,94,83,-1
"H18589",2,39,1,0,86,63,-1
"H18589",1,40,1,1,53,99,-1
"H18589",2,41,1,0,91,29,-1
"H18589",1,42,1,1,64,88,-1
"H18589",2,43,1,0,70,84,-1
"H18589",2,44,0,1,88,61,-1
"H18589",1,45,1,1,43,61,-1
"H18589",1,46,1,1,54,87,-1
"H18589",2,47,0,1,90,5,-1
"H18589",2,48,1,0,44,71,-1
"H18589",2,49,1,0,52,42,-1
"H18589",1,50,1,1,93,39,-1
"H18589",1,51,1,1,24,39,-1
"H18589",1,52,0,0,10,20,-1
"H18589",2,53,0,1,43,85,-1
"H18589",1,54,0,0,7,77,-1
"H18589",1,55,1,1,90,95,-1
"H18589",1,56,1,1,7,56,-1
"H18589",2,57,1,0,69,50,-1
"H18589",1,58,1,1,83,4,-1
"H18589",1,59,0,0,8,40,-1
"H18589",2,60,1,0,86,47,-1
"H18589",2,61,1,0,49,15,-1
"H18589",2,62,1,0,39,17,-1
"H18589",1,63,0,0,97,76,-1
"H18589",2,64,1,0,14,73,-1
"H18589",1,65,1,1,29,67,-1
"H18589",2,66,1,0,39,48,-1
"H18589",1,67,1,1,99,30,-1
"H18589",1,68,0,0,20,13,-1
"H18589",1,69,1,1,59,66,-1
"H18589",2,70,1,0,60,20,-1
"H18589",1,71,1,1,25,41,1
"H18589",2,72,0,1,70,76,1
"H18589",1,73,0,0,18,73,1
"H18589",2,74,0,1,80,41,1
"H18589",1,75,1,1,76,25,1
"H18589",2,76,0,1,52,34,1
"H18589",2,77,0,1,60,30,1
"H18589",1,78,0,0,36,91,1
"H18589",2,79,0,1,59,70,1
"H18589",2,80,1,0,47,64,1
"H18589",1,81,0,0,44,28,1
"H18589",2,82,0,1,80,2,1
"H18589",2,83,0,1,39,20,1
"H18589",2,84,0,1,61,32,1
"H18589",1,85,0,0,61,90,1
"H18589",1,86,1,1,70,62,1
"H18589",2,87,0,1,33,17,1
"H18589",1,88,0,0,17,74,1
"H18589",2,89,0,1,85,2,1
"H18589",2,90,0,1,76,39,1
"H18589",2,91,0,1,20,70,1
"H18589",2,92,1,0,69,24,1
"H18589",2,93,1,0,52,59,1
"H18589",2,94,0,1,43,15,1
"H18589",1,95,1,1,34,50,1
"H18589",2,96,0,1,48,43,1
"H18589",2,97,1,0,35,14,1
"H18589",2,98,1,0,42,12,1
"H18589",2,99,1,0,44,40,1
"H18589",2,100,1,0,50,88,1
"H18589",2,101,1,0,19,51,1
"H18589",2,102,1,0,59,44,1
"H18589",1,103,1,1,9,23,1
"H18589",1,104,1,1,76,23,1
"H18589",2,105,1,0,47,94,1
"H18589",2,106,0,1,56,67,1
"H18589",2,107,1,0,16,50,1
"H18589",2,108,1,0,7,83,1
"H18589",2,109,1,0,41,86,1
"H18589",2,110,1,0,37,61,1
"H18589",2,111,0,1,57,82,1
"H18589",2,112,0,1,28,68,1
"H18589",1,113,0,0,76,65,1
"H18589",2,114,0,1,19,25,1
"H18589",2,115,0,1,68,67,1
"H18589",2,116,0,1,68,82,1
"H18589",1,117,0,0,19,88,1
"H18589",1,118,1,1,11,55,1
"H18589",1,119,1,1,36,74,1
"H18589",1,120,0,0,64,18,1
"H18589",1,121,0,0,3,15,1
"H18589",1,122,0,0,76,91,1
"H18589",1,123,0,0,92,66,1
"H18589",1,124,0,0,14,67,1
"H18589",1,125,1,1,77,11,1
"H18589",2,126,0,1,20,36,1
"H18589",2,127,0,1,61,44,1
"H18589",2,128,0,1,34,4,1
"H18589",2,129,0,1,63,86,1
"H18589",2,130,0,1,43,99,1
"H18589",1,131,1,1,56,95,1
"H18589",1,132,0,0,63,89,1
"H18589",1,133,1,1,80,88,1
"H18589",1,134,0,0,10,5,1
"H18589",1,135,1,1,80,35,1
"H18589",1,136,1,1,57,8,1
"H18589",1,137,1,1,47,78,1
"H18589",2,138,1,0,99,5,1
